,,Monthly Nominal GDP Index,Monthly Real GDP Index
2005 - Apr,4/1/2005,12858.889,15896.024
2005 - May,5/1/2005,12881.978,15863.474
2005 - Jun,6/1/2005,13027.101,16010.907
2005 - Jul,7/1/2005,13095.793,16037.086
2005 - Aug,8/1/2005,13152.646,16077.463
2005 - Sep,9/1/2005,13179.487,16030.317
2005 - Oct,10/1/2005,13235.095,16063.954
2005 - Nov,11/1/2005,13299.851,16112.427
2005 - Dec,12/1/2005,13437.666,16235.891
2006 - Jan,1/1/2006,13517.385,16315.309
2006 - Feb,2/1/2006,13569.537,16308.014
2006 - Mar,3/1/2006,13710.558,16440.201
2006 - Apr,4/1/2006,13696.435,16371.800
2006 - May,5/1/2006,13781.564,16415.652
2006 - Jun,6/1/2006,13782.273,16403.138
2006 - Jul,7/1/2006,13792.910,16367.825
2006 - Aug,8/1/2006,13884.316,16420.438
2006 - Sep,9/1/2006,13933.338,16476.201
2006 - Oct,10/1/2006,13966.359,16488.688
2006 - Nov,11/1/2006,14060.072,16601.568
2006 - Dec,12/1/2006,14092.249,16597.610
2007 - Jan,1/1/2007,14135.651,16580.270
2007 - Feb,2/1/2007,14289.281,16684.078
2007 - Mar,3/1/2007,14222.021,16572.874
2007 - Apr,4/1/2007,14360.843,16709.205
2007 - May,5/1/2007,14402.470,16703.459
2007 - Jun,6/1/2007,14442.933,16729.166
2007 - Jul,7/1/2007,14426.563,16673.999
2007 - Aug,8/1/2007,14597.899,16863.527
2007 - Sep,9/1/2007,14667.889,16893.028
2007 - Oct,10/1/2007,14661.498,16875.568
2007 - Nov,11/1/2007,14717.175,16900.415
2007 - Dec,12/1/2007,14766.501,16971.350
2008 - Jan,1/1/2008,14805.789,16995.298
2008 - Feb,2/1/2008,14626.443,16752.647
2008 - Mar,3/1/2008,14687.382,16783.034
2008 - Apr,4/1/2008,14752.828,16841.219
2008 - May,5/1/2008,14802.378,16891.169
2008 - Jun,6/1/2008,15041.897,17098.832
2008 - Jul,7/1/2008,14969.457,16968.687
2008 - Aug,8/1/2008,14923.136,16898.147
2008 - Sep,9/1/2008,14804.404,16697.496
2008 - Oct,10/1/2008,14696.019,16568.167
2008 - Nov,11/1/2008,14697.863,16584.742
2008 - Dec,12/1/2008,14430.745,16304.209
2009 - Jan,1/1/2009,14478.746,16347.819
2009 - Feb,2/1/2009,14444.510,16291.878
2009 - Mar,3/1/2009,14369.450,16255.835
2009 - Apr,4/1/2009,14360.642,16254.246
2009 - May,5/1/2009,14374.194,16274.626
2009 - Jun,6/1/2009,14408.872,16279.159
2009 - Jul,7/1/2009,14379.123,16264.817
2009 - Aug,8/1/2009,14478.275,16346.727
2009 - Sep,9/1/2009,14489.248,16368.014
2009 - Oct,10/1/2009,14692.140,16568.613
2009 - Nov,11/1/2009,14668.486,16516.252
2009 - Dec,12/1/2009,14593.122,16424.111
2010 - Jan,1/1/2010,14706.909,16525.700
2010 - Feb,2/1/2010,14736.817,16562.618
2010 - Mar,3/1/2010,14850.104,16660.219
2010 - Apr,4/1/2010,14946.424,16725.563
2010 - May,5/1/2010,14955.915,16713.627
2010 - Jun,6/1/2010,15038.240,16790.893
2010 - Jul,7/1/2010,15115.385,16870.090
2010 - Aug,8/1/2010,15103.139,16829.082
2010 - Sep,9/1/2010,15206.297,16918.181
2010 - Oct,10/1/2010,15278.898,16955.934
2010 - Nov,11/1/2010,15264.904,16904.783
2010 - Dec,12/1/2010,15384.621,17022.518
2011 - Jan,1/1/2011,15255.651,16862.699
2011 - Feb,2/1/2011,15283.553,16841.869
2011 - Mar,3/1/2011,15515.140,17057.892
2011 - Apr,4/1/2011,15583.887,17096.853
2011 - May,5/1/2011,15567.146,17037.787
2011 - Jun,6/1/2011,15521.585,16971.373
2011 - Jul,7/1/2011,15622.110,17031.976
2011 - Aug,8/1/2011,15720.855,17102.228
2011 - Sep,9/1/2011,15600.074,16960.416
2011 - Oct,10/1/2011,15851.332,17249.359
2011 - Nov,11/1/2011,15842.274,17209.122
2011 - Dec,12/1/2011,15833.171,17210.037
2012 - Jan,1/1/2012,15934.137,17263.351
2012 - Feb,2/1/2012,16213.898,17513.318
2012 - Mar,3/1/2012,16058.380,17324.912
2012 - Apr,4/1/2012,16178.087,17411.184
2012 - May,5/1/2012,16227.269,17479.371
2012 - Jun,6/1/2012,16215.990,17443.612
2012 - Jul,7/1/2012,16323.980,17522.759
2012 - Aug,8/1/2012,16277.610,17418.507
2012 - Sep,9/1/2012,16357.033,17468.319
2012 - Oct,10/1/2012,16343.614,17414.483
